veseliti se,to be happy
Rajčica (paradajz),tomato
Sok,juice
Kupina/malina,blackberry
Slanina,bacon
Kuhati,to cook
Peći,to bake/cook
Jaje,egg
Voda,water
Vrt,garden
Kamen,stone
Prašina,dust
Zemlja,earth/soil/land/mud
Tlo,ground
Lopata,shovel
Krumpir,potato
Stol,table
Stolica,chair
Vrata,door
Prozor,window
Zid,wall
Stepenice/stepenište/stube,stairs
Soba,room
Krevet,bed
Jastuk,pillow
Deka,duvet
Izbor,choice/election
Vilica,fork
Nož,knife
Žlica/kašika,spoon
T tanjur,plate
Čaša,glass
Zdjela,bowl
ja,I
ti,you
on,he
ona,she
mi,we
vi,you (plural)
oni,they
što,what
kako,how
kada,when
zašto,why
s,with
bez,without
na,on/at/in
u,in/into/to
iz,from/out of
kao,like/as
ali,but
i,and
ili,or
jer,because
dobro,good/well
mali,small/little
novi,new
stari,old
ovaj,this
taj,that
svoj,own
tvoj,your
moj,my
naš,our
vaš,your (plural)
to,it
sada,now
dan,day
noć,night
vrijeme,time/weather
danas,today
čuti,to hear
raditi,to work
ići,to go
spavati,to sleep
pričati,to talk
pitati,to ask
misliti,to think
reći,to say/tell
dati,to give
otvoriti,to open
pomoći,to help
biti,to be
imati,to have
živjeti,to live
željeti,to wish/desire
trebao,needed
morati,must/to have to
slušati,to listen
hodati,to walk
skakati,to jump
sanjati,to dream
sjediti,to sit
stajati,to stand
ležati,to lie/be lying down
učiti,to learn/study
govoriti,to speak/talk
pjevati,to sing
crtati,to draw
Podnij Njega,Cooking
Temeljito,Thoroughly
Juha,Soup
Kruh,Bread
Maslac,Butter
Meso,Meat
Piletina,Chicken
Govedina,Beef
Svinjetina,Pork
Jabuka,Apple
Kruška,Pear
Naranča,Orange
Banana,Banana
Jagoda,Strawberry
Grožđe,Grapes
Leglo,Nest
Dijete,Child
Djeca,Children
Mlado,Young
Zreli,Mature
Starije,Elderly
Mala,Small
Veliki,Large
Visoko,High
Niska,Short
Dug,Long
Kratko,Short - time
Široka,Wide
Tijesan,Narrow
Debeli,Fat
Tanak,Thin
Lijep,Beautiful
Smeđa,Brown
Crni,Black
Bijela,White
Žuta,Yellow
Zelena,Green
Plava,Blue
Crvena,Red
Narančasta,Orange
Ljubičasta,Purple
Roza,Pink
Siva,Gray
Zalazak sunca,Sunset
Izlazak sunca,Sunrise
More,Sea/Ocean
Rijeka,River
Šuma,Forest
Pješčana plaža,Sandy Beach
Rakijice,Brandy
Domaćica,Housewife/Homemaker
Hrabro,Bravely/Courageously
Odojka,Pork
Matematika,Mathematics
Lopatica,Spatula
Kloniti se,Avoid
Ljestve,Ladders
Pometati,Sweep
